day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
4;0;COCONUTS;7946;185;;;;;7949;185;;;;;7947.5;0.0
4;0;DIVING_GEAR;100292;23;;;;;100295;23;;;;;100293.5;0.0
4;0;PINA_COLADAS;14917;33;14916;52;;;14918;39;14920;85;;;14917.5;0.0
4;0;PEARLS;9996;2;9995;26;;;10004;2;10005;26;;;10000.0;0.0
4;0;DIP;7083;95;7082;177;;;7084;95;7085;177;;;7083.5;0.0
4;0;BANANAS;4748;28;;;;;4754;2;4755;26;;;4751.0;0.0
4;0;BAGUETTE;12320;43;12319;95;;;12321;43;12322;95;;;12320.5;0.0
4;0;UKULELE;20428;21;20427;32;;;20429;53;;;;;20428.5;0.0
4;0;PICNIC_BASKET;73825;2;73824;15;73823;21;73837;2;73838;15;73839;21;73831.0;0.0
4;0;DOLPHIN_SIGHTINGS;;;;;;;;;;;;;3171.0;0.0
4;0;BERRIES;3830;15;3829;42;;;3837;15;3838;42;;;3833.5;0.0
4;100;COCONUTS;7947;42;7946;101;;;7949;143;;;;;7948.0;0.0
4;100;BERRIES;3831;18;3830;59;;;3837;18;3838;59;;;3834.0;0.0
4;100;DIVING_GEAR;100292;10;100291;18;;;100294;10;100295;18;;;100293.0;-3.609375
4;100;PEARLS;9996;1;9995;25;;;9998;1;10002;8;10004;1;9997.0;0.0
4;100;BANANAS;4751;4;4748;26;;;4753;8;4755;26;;;4752.0;0.0
4;100;UKULELE;20424;65;;;;;20425;20;20426;45;;;20424.5;-233.375
4;100;DOLPHIN_SIGHTINGS;;;;;;;;;;;;;3171.0;0.0
4;100;PINA_COLADAS;14920;109;;;;;14923;109;;;;;14921.5;0.0
4;100;DIP;7083;50;7082;105;;;7084;50;7085;105;;;7083.5;0.0
4;100;BAGUETTE;12318;104;;;;;12320;104;;;;;12319.0;-85.1875
4;100;PICNIC_BASKET;73819;1;73818;18;73817;20;73830;1;73831;18;73833;20;73824.5;1.03125
4;200;BAGUETTE;12317;114;;;;;12319;44;12320;70;;;12318.0;-306.375
4;200;PICNIC_BASKET;73811;15;73810;26;;;73825;15;73826;26;;;73818.0;25.125
4;200;UKULELE;20427;71;;;;;20428;26;20429;45;;;20427.5;-22.375
4;200;BERRIES;3830;56;;;;;3837;15;3838;41;;;3833.5;0.0
4;200;DOLPHIN_SIGHTINGS;;;;;;;;;;;;;3171.0;0.0
4;200;COCONUTS;7947;172;;;;;7949;67;7950;105;;;7948.0;0.0
4;200;DIVING_GEAR;100294;5;100293;15;;;100296;5;100297;15;;;100295.0;2.34375
4;200;PINA_COLADAS;14921;84;;;;;14924;84;;;;;14922.5;0.0
4;200;PEARLS;9995;21;;;;;10005;21;;;;;10000.0;2.0
4;200;DIP;7082;236;;;;;7084;236;;;;;7083.0;0.0
4;200;BANANAS;4748;21;;;;;4755;21;;;;;4751.5;0.0
4;300;DOLPHIN_SIGHTINGS;;;;;;;;;;;;;3171.0;0.0
4;300;PINA_COLADAS;14922;80;;;;;14925;80;;;;;14923.5;0.0
4;300;DIP;7081;189;;;;;7083;189;;;;;7082.0;0.0
4;300;BAGUETTE;12316;131;;;;;12318;51;12319;80;;;12317.0;-456.5
4;300;PICNIC_BASKET;73814;1;73813;13;73812;27;73825;1;73826;13;73827;27;73819.5;15.0625
