day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
3;0;DOLPHIN_SIGHTINGS;;;;;;;;;;;;;3094.0;0.0
3;0;BERRIES;3905;14;3904;52;;;3912;14;3913;52;;;3908.5;0.0
3;0;PEARLS;9996;2;9995;25;;;10004;2;10005;25;;;10000.0;0.0
3;0;DIVING_GEAR;100187;21;;;;;100190;21;;;;;100188.5;0.0
3;0;PINA_COLADAS;14849;21;14848;51;;;14852;72;;;;;14850.5;0.0
3;0;COCONUTS;7912;4;7911;148;;;7914;209;;;;;7913.0;0.0
3;0;BANANAS;4792;27;;;;;4798;2;4799;25;;;4795.0;0.0
3;100;PINA_COLADAS;14849;113;14848;51;;;14852;164;;;;;14850.5;0.0
3;100;PEARLS;9996;4;9995;53;;;9998;1;10004;4;10005;53;9997.0;0.0
3;100;DIVING_GEAR;100187;21;;;;;100190;3;100196;8;100197;10;100188.5;0.0
3;100;BERRIES;3905;24;3904;100;;;3912;72;3913;52;;;3908.5;0.0
3;100;COCONUTS;7912;175;7911;148;;;7914;209;7915;171;;;7913.0;0.0
3;100;BANANAS;4792;57;;;;;4798;4;4799;53;;;4795.0;0.0
3;100;DOLPHIN_SIGHTINGS;;;;;;;;;;;;;3094.0;0.0
3;200;PEARLS;9996;4;9995;73;;;9998;1;10004;4;10005;73;9997.0;0.0
3;200;DIVING_GEAR;100187;21;;;;;100203;21;;;;;100195.0;0.0
3;200;PINA_COLADAS;14849;196;14848;51;;;14852;247;;;;;14850.5;0.0
3;200;COCONUTS;7912;232;7911;283;;;7914;401;7915;171;;;7913.0;0.0
3;200;BANANAS;4792;77;;;;;4798;4;4799;73;;;4795.0;0.0
3;200;DOLPHIN_SIGHTINGS;;;;;;;;;;;;;3094.0;0.0
3;200;BERRIES;3905;38;3904;155;;;3912;86;3913;107;;;3908.5;0.0
3;300;COCONUTS;7912;413;7911;283;;;7914;401;7915;352;;;7913.0;0.0
3;300;BERRIES;3905;57;3904;199;;;3911;19;3912;130;3913;107;3908.0;0.0
3;300;BANANAS;4793;1;4792;97;;;4798;4;4799;94;;;4795.5;0.0
3;300;DOLPHIN_SIGHTINGS;;;;;;;;;;;;;3094.0;0.0
3;300;PINA_COLADAS;14851;68;14849;196;14848;51;14852;214;14854;33;14855;68;14851.5;0.0
3;300;PEARLS;9996;5;9995;93;;;9998;1;10004;5;10005;93;9997.0;0.0
3;300;DIVING_GEAR;100204;6;100187;21;;;100207;27;;;;;100205.5;0.0
3;400;DOLPHIN_SIGHTINGS;;;;;;;;;;;;;3093.0;0.0
3;400;BERRIES;3905;76;3904;246;;;3911;19;3912;149;3913;154;3908.0;0.0
3;400;PEARLS;9996;5;9995;123;;;9998;1;10004;5;10005;123;9997.0;0.0
3;400;DIVING_GEAR;100211;1;100204;6;100187;21;100214;28;;;;;100212.5;0.0
3;400;PINA_COLADAS;14851;131;14849;196;14848;51;14852;174;14854;73;14855;131;14851.5;0.0
3;400;COCONUTS;7912;413;7911;455;;;7914;573;7915;352;;;7913.0;0.0
3;400;BANANAS;4793;1;4792;127;;;4798;4;4799;124;;;4795.5;0.0
3;500;PINA_COLADAS;14851;131;14849;196;14848;51;14852;79;14854;73;14855;131;14851.5;0.0
